Mode,NLC,ASC,Station,Coverage,Source,count,type,day,year,Latitude,Longitude,Zone,Postcode
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,22390,Exits,Weekday (Mon-Fri),2017,51.52719174,-0.055392112,2,E2 0ET
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,19079,Exits,Saturday,2017,51.52719174,-0.055392112,2,E2 0ET
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,14976,Exits,Sunday,2017,51.52719174,-0.055392112,2,E2 0ET
LU,520,BNGu,Bethnal Green LU,Station entry / exit,Relate,14720487.83,En/Ex,Annualised,2017,51.52719174,-0.055392112,2,E2 0ET
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,26446,Entries,Weekday (Mon-Fri),2017,51.51158693,-0.102995385,1,EC4V 4DD
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,10303,Entries,Saturday,2017,51.51158693,-0.102995385,1,EC4V 4DD
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,8112,Entries,Sunday,2017,51.51158693,-0.102995385,1,EC4V 4DD
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,24991,Exits,Weekday (Mon-Fri),2017,51.51158693,-0.102995385,1,EC4V 4DD
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,8295,Exits,Saturday,2017,51.51158693,-0.102995385,1,EC4V 4DD
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,6211,Exits,Sunday,2017,51.51158693,-0.102995385,1,EC4V 4DD
LU,521,BLFu,Blackfriars LU,Station entry / exit,Relate,14159864.46,En/Ex,Annualised,2017,51.51158693,-0.102995385,1,EC4V 4DD
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,14573,Entries,Weekday (Mon-Fri),2017,51.58577663,-0.039625712,3,E17 6JJ
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,10207,Entries,Saturday,2017,51.58577663,-0.039625712,3,E17 6JJ
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,7512,Entries,Sunday,2017,51.58577663,-0.039625712,3,E17 6JJ
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,13631,Exits,Weekday (Mon-Fri),2017,51.58577663,-0.039625712,3,E17 6JJ
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,9194,Exits,Saturday,2017,51.58577663,-0.039625712,3,E17 6JJ
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,6984,Exits,Sunday,2017,51.58577663,-0.039625712,3,E17 6JJ
LU,522,BHRu,Blackhorse Road,Station entry / exit,Relate,8537572.516,En/Ex,Annualised,2017,51.58577663,-0.039625712,3,E17 6JJ
LU,524,BDSu,Bond Street,Station entry / exit,Relate,61234,Entries,Weekday (Mon-Fri),2017,51.51379752,-0.14961361,1,W1C 2HU
LU,524,BDSu,Bond Street,Station entry / exit,Relate,46690,Entries,Saturday,2017,51.51379752,-0.14961361,1,W1C 2HU
LU,524,BDSu,Bond Street,Station entry / exit,Relate,28468,Entries,Sunday,2017,51.51379752,-0.14961361,1,W1C 2HU
LU,524,BDSu,Bond Street,Station entry / exit,Relate,60124,Exits,Weekday (Mon-Fri),2017,51.51379752,-0.14961361,1,W1C 2HU
LU,524,BDSu,Bond Street,Station entry / exit,Relate,45840,Exits,Saturday,2017,51.51379752,-0.14961361,1,W1C 2HU
LU,524,BDSu,Bond Street,Station entry / exit,Relate,27253,Exits,Sunday,2017,51.51379752,-0.14961361,1,W1C 2HU
LU,524,BDSu,Bond Street,Station entry / exit,Relate,36853006.23,En/Ex,Annualised,2017,51.51379752,-0.14961361,1,W1C 2HU
LU,525,BORu,Borough,Station entry / exit,Relate,9525,Entries,Weekday (Mon-Fri),2017,51.50104887,-0.094197323,1,SE1 1JX
LU,525,BORu,Borough,Station entry / exit,Relate,5779,Entries,Saturday,2017,51.50104887,-0.094197323,1,SE1 1JX
LU,525,BORu,Borough,Station entry / exit,Relate,3955,Entries,Sunday,2017,51.50104887,-0.094197323,1,SE1 1JX
LU,525,BORu,Borough,Station entry / exit,Relate,9318,Exits,Weekday (Mon-Fri),2017,51.50104887,-0.094197323,1,SE1 1JX
LU,525,BORu,Borough,Station entry / exit,Relate,6268,Exits,Saturday,2017,51.50104887,-0.094197323,1,SE1 1JX
LU,525,BORu,Borough,Station entry / exit,Relate,4140,Exits,Sunday,2017,51.50104887,-0.094197323,1,SE1 1JX
LU,525,BORu,Borough,Station entry / exit,Relate,5581682.628,En/Ex,Annualised,2017,51.50104887,-0.094197323,1,SE1 1JX
